scenario_id,scenario_seed,broken_bus_count,broken_link_count,study_result_dir,csv_path
scenario_001,20260325,14,7,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260325_235335,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260325_235335/tradeoff_summary.csv
scenario_002,20260326,11,4,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_000053,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_000053/tradeoff_summary.csv
scenario_003,20260327,9,11,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_000559,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_000559/tradeoff_summary.csv
scenario_004,20260328,8,7,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_001230,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_001230/tradeoff_summary.csv
scenario_005,20260329,15,13,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_001730,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_001730/tradeoff_summary.csv
scenario_006,20260330,10,7,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_002655,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_002655/tradeoff_summary.csv
scenario_007,20260331,15,3,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_003242,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_003242/tradeoff_summary.csv
scenario_008,20260332,12,3,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_003839,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_003839/tradeoff_summary.csv
scenario_009,20260333,8,7,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_004332,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_004332/tradeoff_summary.csv
scenario_010,20260334,13,3,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_004835,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_004835/tradeoff_summary.csv
scenario_011,20260335,8,4,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_005357,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_005357/tradeoff_summary.csv
scenario_012,20260336,8,4,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_005754,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_005754/tradeoff_summary.csv
scenario_013,20260337,9,6,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_010202,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_010202/tradeoff_summary.csv
scenario_014,20260338,9,10,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_010705,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_010705/tradeoff_summary.csv
scenario_015,20260339,15,6,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_011326,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_011326/tradeoff_summary.csv
scenario_016,20260340,14,8,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_012032,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_012032/tradeoff_summary.csv
scenario_017,20260341,13,3,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_012750,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_012750/tradeoff_summary.csv
scenario_018,20260342,11,6,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_013311,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_013311/tradeoff_summary.csv
scenario_019,20260343,10,7,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_013852,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_013852/tradeoff_summary.csv
scenario_020,20260344,15,4,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_014452,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_014452/tradeoff_summary.csv
scenario_021,20260345,9,6,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_015113,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_015113/tradeoff_summary.csv
scenario_022,20260346,10,6,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_015610,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_015610/tradeoff_summary.csv
scenario_023,20260347,12,6,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_020130,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_020130/tradeoff_summary.csv
scenario_024,20260348,12,9,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_020719,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_020719/tradeoff_summary.csv
scenario_025,20260349,13,4,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_021446,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_021446/tradeoff_summary.csv
scenario_026,20260350,11,11,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_022038,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_022038/tradeoff_summary.csv
scenario_027,20260351,10,7,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_022802,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_022802/tradeoff_summary.csv
scenario_028,20260352,9,4,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_023351,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_023351/tradeoff_summary.csv
scenario_029,20260353,13,11,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_023818,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_023818/tradeoff_summary.csv
scenario_030,20260354,11,6,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_024643,results/batch_tradeoff_20260325_235335/scenario_runs/tradeoff_20260326_024643/tradeoff_summary.csv
