row_kind,experiment_id,source_experiment_id,rule_type,rule_label,objective,objective_value,triangle_area,var_restore,gini_restore,p90_restore,p90_access_restore,share_access_final,cri_w_e,cri_w_a,cri_threshold,critical_access_threshold,is_primary_setting,is_pareto,session_dir,run_dir,sequence
optimized,baseline_reference,,baseline,Baseline sequence,triangle,220.68646431437358,220.68646431437358,37411.27662055932,0.6075993909547031,465.93032700000003,512.649255,0.9166666666666666,0.5,0.5,0.9,0.9,1,1,,results/tradeoff_20260321_141118/reference,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
optimized,single_triangle,,single,Single objective: triangle,triangle,220.68646431437358,220.68646431437358,37411.27662055932,0.6075993909547031,465.93032700000003,512.649255,0.9166666666666666,0.5,0.5,0.9,0.9,1,1,results/tradeoff_20260321_141118/single_triangle_20260321_141118,results/tradeoff_20260321_141118/single_triangle_20260321_141118/best,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
optimized,single_var_restore,,single,Single objective: var_restore,equity:var_restore,37411.27662055932,220.68646431437358,37411.27662055932,0.6075993909547031,465.93032700000003,512.649255,0.9166666666666666,0.5,0.5,0.9,0.9,1,1,results/tradeoff_20260321_141118/single_var_restore_20260321_141119,results/tradeoff_20260321_141118/single_var_restore_20260321_141119/best,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
optimized,single_gini_restore,,single,Single objective: gini_restore,equity:gini_restore,0.6075993909547031,220.68646431437358,37411.27662055932,0.6075993909547031,465.93032700000003,512.649255,0.9166666666666666,0.5,0.5,0.9,0.9,1,1,results/tradeoff_20260321_141118/single_gini_restore_20260321_141120,results/tradeoff_20260321_141118/single_gini_restore_20260321_141120/best,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
optimized,single_p90_restore,,single,Single objective: p90_restore,equity:p90_restore,465.93032700000003,220.68646431437358,37411.27662055932,0.6075993909547031,465.93032700000003,512.649255,0.9166666666666666,0.5,0.5,0.9,0.9,1,1,results/tradeoff_20260321_141118/single_p90_restore_20260321_141124,results/tradeoff_20260321_141118/single_p90_restore_20260321_141124/best,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
optimized,single_p90_access_restore,,single,Single objective: p90_access_restore,critical_access:p90_access_restore,512.649255,220.68646431437358,37411.27662055932,0.6075993909547031,465.93032700000003,512.649255,0.9166666666666666,0.5,0.5,0.9,0.9,1,1,results/tradeoff_20260321_141118/single_p90_access_restore_20260321_141125,results/tradeoff_20260321_141118/single_p90_access_restore_20260321_141125/best,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
optimized,weighted_gini_restore_l025,,weighted_sum,Weighted sum: triangle + 0.25 * equity:gini_restore,weighted_sum,1.25,220.68646431437358,37411.27662055932,0.6075993909547031,465.93032700000003,512.649255,0.9166666666666666,0.5,0.5,0.9,0.9,1,1,results/tradeoff_20260321_141118/weighted_gini_restore_l025_20260321_141126,results/tradeoff_20260321_141118/weighted_gini_restore_l025_20260321_141126/best,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
optimized,guardrail_gini_restore,,guardrail,Guardrail on equity:gini_restore,guardrail,30600.656012049516,220.68646431437358,37411.27662055932,0.6075993909547031,465.93032700000003,512.649255,0.9166666666666666,0.5,0.5,0.9,0.9,1,1,results/tradeoff_20260321_141118/guardrail_gini_restore_20260321_141127,results/tradeoff_20260321_141118/guardrail_gini_restore_20260321_141127/best,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
optimized,weighted_p90_restore_l025,,weighted_sum,Weighted sum: triangle + 0.25 * equity:p90_restore,weighted_sum,1.25,220.68646431437358,37411.27662055932,0.6075993909547031,465.93032700000003,512.649255,0.9166666666666666,0.5,0.5,0.9,0.9,1,1,results/tradeoff_20260321_141118/weighted_p90_restore_l025_20260321_141128,results/tradeoff_20260321_141118/weighted_p90_restore_l025_20260321_141128/best,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
optimized,guardrail_p90_restore,,guardrail,Guardrail on equity:p90_restore,guardrail,23296737.03646436,220.68646431437358,37411.27662055932,0.6075993909547031,465.93032700000003,512.649255,0.9166666666666666,0.5,0.5,0.9,0.9,1,1,results/tradeoff_20260321_141118/guardrail_p90_restore_20260321_141129,results/tradeoff_20260321_141118/guardrail_p90_restore_20260321_141129/best,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
optimized,weighted_p90_access_restore_l025,,weighted_sum,Weighted sum: triangle + 0.25 * critical_access:p90_access_restore,weighted_sum,1.25,220.68646431437358,37411.27662055932,0.6075993909547031,465.93032700000003,512.649255,0.9166666666666666,0.5,0.5,0.9,0.9,1,1,results/tradeoff_20260321_141118/weighted_p90_access_restore_l025_20260321_141130,results/tradeoff_20260321_141118/weighted_p90_access_restore_l025_20260321_141130/best,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
optimized,guardrail_p90_access_restore,,guardrail,Guardrail on critical_access:p90_access_restore,guardrail,25632683.436464317,220.68646431437358,37411.27662055932,0.6075993909547031,465.93032700000003,512.649255,0.9166666666666666,0.5,0.5,0.9,0.9,1,1,results/tradeoff_20260321_141118/guardrail_p90_access_restore_20260321_141130,results/tradeoff_20260321_141118/guardrail_p90_access_restore_20260321_141130/best,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
sensitivity,sens::baseline_reference::we0.50_wa0.50_ct0.90_at0.90,baseline_reference,sensitivity,Sensitivity re-evaluation,triangle,220.68646431437358,220.68646431437358,37411.27662055932,0.6075993909547031,465.93032700000003,512.649255,0.9166666666666666,0.5,0.5,0.9,0.9,1,,,results/tradeoff_20260321_141118/_sensitivity_tmp,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
