iter,tag,objective_value,triangle_area,var_restore,gini_restore,p90_restore,p90_access_restore,sequence
-1,baseline,629.845106,310.8298714981072,39523.8364309399,0.3510473908196947,521.9500632999999,629.845106,[(9, 10), 28, 11, 17, 15, 32, (11, 14)]
0,single_p90_access_restore_sa_init,629.845106,310.8298714981072,39523.8364309399,0.3510473908196947,521.9500632999999,629.845106,[(9, 10), 28, 11, 17, 15, 32, (11, 14)]
1,single_p90_access_restore_sa_it0000,617.8070710000001,305.77872521178585,59294.88258326664,0.3809061313212536,617.8070710000001,617.8070710000001,[(9, 10), 28, 11, (11, 14), 15, 32, 17]
2,single_p90_access_restore_sa_it0001,629.845106,310.8298714981072,39523.8364309399,0.3510473908196947,521.9500632999999,629.845106,[(9, 10), 28, 11, 17, 15, 32, (11, 14)]
3,single_p90_access_restore_sa_it0002,513.5081970000001,270.986902274652,39532.15197049746,0.3756633403115863,513.5081970000001,513.5081970000001,[(9, 10), 28, 11, 15, (11, 14), 32, 17]
4,single_p90_access_restore_sa_it0003,513.5081970000001,272.12115790280063,39520.77121702524,0.37378098959137285,513.5081970000001,513.5081970000001,[(9, 10), 28, 15, 11, (11, 14), 32, 17]
5,single_p90_access_restore_sa_it0004,513.5081970000001,270.986902274652,39532.15197049746,0.3756633403115863,513.5081970000001,513.5081970000001,[(9, 10), 28, 11, 15, (11, 14), 32, 17]
6,single_p90_access_restore_sa_it0005,434.23174100000006,227.41843229161861,29210.033800648303,0.38823468728262345,434.23174100000006,434.23174100000006,[(9, 10), (11, 14), 11, 15, 28, 32, 17]
7,single_p90_access_restore_sa_it0006,513.5081970000001,270.986902274652,39532.15197049746,0.3756633403115863,513.5081970000001,513.5081970000001,[(9, 10), 28, 11, 15, (11, 14), 32, 17]
8,single_p90_access_restore_sa_it0007,518.972105,381.9880836019632,43001.22779942392,0.31308163076498996,518.972105,518.972105,[17, (11, 14), 11, 15, 28, 32, (9, 10)]
9,single_p90_access_restore_sa_it0008,554.3306680000001,274.71744620336665,48978.58946902742,0.4099791717154375,554.3306680000001,554.3306680000001,[(9, 10), (11, 14), 28, 15, 11, 32, 17]
10,single_p90_access_restore_sa_it0009,405.428925,208.46271013366984,21228.557360755363,0.3755881385531459,399.428925,405.428925,[(9, 10), (11, 14), 11, 15, 17, 32, 28]
11,single_p90_access_restore_sa_it0010,405.494235,194.81198143003886,20404.657334380085,0.3459640155245769,399.494235,405.494235,[(9, 10), 11, (11, 14), 15, 17, 32, 28]
12,single_p90_access_restore_sa_it0011,657.600249,442.67039801306765,51940.78061419589,0.26612736741621457,624.2859794999999,657.600249,[32, 11, (11, 14), 15, 17, (9, 10), 28]
13,single_p90_access_restore_sa_it0012,474.10206199999993,297.9310723482913,27008.088739625713,0.311798939073461,468.10206199999993,474.10206199999993,[17, 11, (11, 14), 15, (9, 10), 32, 28]
